epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,24.311,1.92781,4.55448,2.48842,0.12341,0.08196,0.23629,0.08115,0.0598,1.48109,3.56274,2.30031,0.01528,0.00014875,0.00014875,0.00014875
2,51.5238,1.35646,3.38393,2.04068,0.01241,0.50511,0.26925,0.249,0.19239,1.21242,2.71211,1.98562,0.00478,0.000270675,0.000270675,0.000270675
3,77.5491,1.11538,2.60564,1.92357,0.01427,0.4944,0.41206,0.35327,0.29147,0.96791,1.99472,1.83586,0.00612,0.000362571,0.000362571,0.000362571
4,103.937,0.97951,2.19196,1.84734,0.00955,0.81308,0.4411,0.48761,0.42384,0.77499,1.61005,1.75213,0.00403,0.000319865,0.000319865,0.000319865
5,130.008,0.84854,1.92668,1.76208,0.00477,0.77396,0.58215,0.56195,0.49071,0.67257,1.31461,1.6923,0.00259,0.00027482,0.00027482,0.00027482
6,156.316,0.77432,1.63097,1.75539,0.00401,0.59629,0.67069,0.607,0.53463,0.61511,1.16814,1.64788,0.00297,0.000229775,0.000229775,0.000229775
7,182.895,0.7086,1.46472,1.66579,0.00366,0.641,0.72296,0.64135,0.56835,0.59725,1.09574,1.58618,0.00268,0.00018473,0.00018473,0.00018473
8,209.162,0.70726,1.42531,1.60916,0.0027,0.65255,0.74745,0.66379,0.58927,0.57349,1.05258,1.56419,0.00252,0.000139685,0.000139685,0.000139685
9,234.601,0.65421,1.35429,1.6068,0.0036,0.67197,0.73785,0.69049,0.61966,0.52877,0.97962,1.54572,0.00255,9.464e-05,9.464e-05,9.464e-05
10,261.936,0.65244,1.32836,1.59808,0.00293,0.67287,0.75261,0.70157,0.6272,0.53117,0.95619,1.53675,0.00257,4.9595e-05,4.9595e-05,4.9595e-05
